,Date,Open,High,Low,Close,Adj Close,Volume
0,1962-01-01,7.713333,7.713333,7.003334,7.226666000000001,2.077531,8760000
1,1962-02-01,7.3,7.48,7.093333,7.16,2.0583650000000002,5737600
2,1962-03-01,7.186666000000001,7.413333000000001,7.07,7.103333,2.042352,5344000
3,1962-04-01,7.1,7.1,6.0,6.053333,1.7404580000000003,12851200
4,1962-05-01,6.053333,6.53,4.733333,5.233333,1.504689,49307200
5,1962-06-01,5.213333,5.213333,4.0,4.523333999999999,1.300756,68451200
6,1962-07-01,4.523333999999999,5.246666,4.513333,5.16,1.483839,41052800
7,1962-08-01,5.146667,5.53,4.94,5.283333,1.519304,41353600
8,1962-09-01,5.283333,5.353333,4.646667,4.713333,1.35566,33204800
9,1962-10-01,4.713333,4.956666,4.293334,4.613333,1.326898,42958400
10,1962-11-01,4.613333,5.356667,4.56,5.313333999999999,1.528234,36654400
11,1962-12-01,5.26,5.413333000000001,5.086666999999999,5.2,1.49595,21891200
12,1963-01-01,5.2,5.66,5.123333000000001,5.65,1.625409,28531200
13,1963-02-01,5.65,5.665,5.32,5.33,1.533349,13190400
14,1963-03-01,5.33,5.643333,5.296667,5.613333,1.615245,12147200
15,1963-04-01,5.613333,6.326667,5.566667,6.183333,1.779262,18203200
16,1963-05-01,6.183333,6.38,6.1,6.363333,1.8310560000000002,11387200
17,1963-06-01,6.363333,6.383333,5.76,5.816667,1.674116,12854400
18,1963-07-01,5.816667,5.973333,5.67,5.793334,1.667401,16763200
19,1963-08-01,5.793334,6.126666999999999,5.733333,5.93,1.706736,13878400
20,1963-09-01,5.938333999999999,6.253334,5.938333999999999,6.026667,1.734954,18100800
21,1963-10-01,6.026667,6.69,5.98,6.586666999999999,1.896167,24403200
22,1963-11-01,6.586666999999999,6.61,6.146667,6.47,1.862579,12488000
23,1963-12-01,6.506667,6.793334,6.313333999999999,6.76,1.946564,13035200
24,1964-01-01,6.8,7.56,6.766667,7.226666000000001,2.080941,22300800
25,1964-02-01,7.226666000000001,7.686666000000001,7.12,7.586666999999999,2.184606,11291200
26,1964-03-01,7.586666999999999,7.926667,7.413333000000001,7.923333,2.282077,11723200
27,1964-04-01,7.933333,8.02,7.603333,7.603333,2.189912,12776000
28,1964-05-01,7.613333,8.233334,7.613333,8.0,2.304159,10512000
29,1964-06-01,8.0,8.058333,7.683333,7.95,2.29034,8619200
30,1964-07-01,7.9791669999999995,8.2,7.6666669999999995,7.7,2.218316,9276800
31,1964-08-01,7.7,7.7,7.091667,7.341667,2.1150830000000003,11555200
